timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 21:01:19.741, NVIDIA GeForce RTX 5080 Laptop GPU, 89 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:21.741, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:23.742, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:25.742, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5201 MiB, 16303 MiB, 69
2026/09/23 21:01:27.742, NVIDIA GeForce RTX 5080 Laptop GPU, 87 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:29.742, NVIDIA GeForce RTX 5080 Laptop GPU, 60 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:01:31.743, NVIDIA GeForce RTX 5080 Laptop GPU, 66 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:33.743, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:35.743, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5240 MiB, 16303 MiB, 68
2026/09/23 21:01:37.743, NVIDIA GeForce RTX 5080 Laptop GPU, 68 %, 5230 MiB, 16303 MiB, 68
2026/09/23 21:01:39.743, NVIDIA GeForce RTX 5080 Laptop GPU, 84 %, 5201 MiB, 16303 MiB, 69
2026/09/23 21:01:41.744, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5178 MiB, 16303 MiB, 71
2026/09/23 21:01:43.744, NVIDIA GeForce RTX 5080 Laptop GPU, 55 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:01:45.744, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5178 MiB, 16303 MiB, 70
2026/09/23 21:01:47.744, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:01:49.745, NVIDIA GeForce RTX 5080 Laptop GPU, 86 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:51.745, NVIDIA GeForce RTX 5080 Laptop GPU, 56 %, 5178 MiB, 16303 MiB, 69
